internet,elearning_better
Good,Agree
Fair,Disagree
Poor,Neutral
Fair,Agree
Good,Agree
Fair,Agree
Good,Disagree
Excellent,Agree
Good,Agree
Excellent,Agree
Good,Agree
Good,Strongly agree
Excellent,Strongly agree
Good,Strongly agree
Excellent,Disagree
Good,Neutral
Good,Agree
Good,Agree
Good,Agree
Fair,Agree
Fair,Agree
Good,Agree
Poor,Strongly agree
Fair,Neutral
Poor,Neutral
Fair,Agree
Good,Strongly agree
Good,Neutral
Fair,Neutral
Excellent,Strongly agree
Good,Neutral
Good,Neutral
Fair,Disagree
Fair,Agree
Poor,Agree
Fair,Neutral
Poor,Agree
Fair,Agree
Poor,Strongly agree
Good,Agree
Fair,Agree
Fair,Agree
Good,Strongly agree
Fair,Agree
Good,Agree
Good,Agree
Good,Agree
Good,Agree
Good,Agree
Fair,Agree
Fair,Agree
Fair,Agree
Good,Strongly agree
Fair,Agree
Good,Agree
Poor,Agree
Fair,Strongly agree
Fair,Agree
Poor,Agree
Poor,Strongly agree
Fair,Agree
Fair,Disagree
Poor,Agree
Fair,Agree
Good,Strongly agree
Fair,Agree
Fair,Strongly agree
Fair,Agree
Fair,Agree
Fair,Strongly agree
Good,Strongly agree
Fair,Agree
Fair,Agree
Poor,Neutral
Fair,Strongly agree
Fair,Neutral
Fair,Strongly agree
Good,Agree
Excellent,Neutral
Good,Strongly agree
Poor,Agree
Fair,Agree
Fair,Neutral
Poor,Disagree
Good,Agree
Fair,Strongly agree
Fair,Neutral
Poor,Disagree
Good,Neutral
Fair,Agree
Fair,Agree
Good,Strongly agree
Fair,Agree
Good,Strongly agree
Excellent,Agree
Fair,Neutral
Fair,Strongly agree
Fair,Strongly agree
Good,Agree
Poor,Agree
