year,time
3,1
2,1
4,10
1,20
3,10
2,1
2,1
3,1
4,10
4,1
2,10
1,10
1,20
3,1
4,1
1,20
3,1
2,10
4,1
4,1
3,1
1,20
1,20
2,10
4,1
2,10
1,30
1,20
2,10
4,1
3,1
1,20
1,20
4,1
1,10
3,10
4,1
1,30
3,1
3,10
4,1
2,10
4,1
3,1
3,1
1,20
2,10
2,1
4,1
2,1
1,30
2,10
1,30
4,1
3,10
4,1
4,10
2,10
3,10
4,1
4,1
4,10
3,1
4,1
4,1
3,10
1,20
4,1
3,10
2,10
4,1
4,1
4,1
3,10
4,1
2,1
3,1
1,20
4,1
3,10
4,1
3,20
4,1
3,1
2,10
2,20
2,10
3,1
3,10
3,10
2,10
2,10
4,1
3,10
3,1
4,1
4,1
3,10
1,30
2,20
